,Date,Month,Day,Interval,DAP DEMAND,RTD DEMAND,RTX DEMAND,Temp,Weather,Wind,Humidity
0,01/05/2020,May,Fri,1,7481.1,7524.1,7446.7,26,Passing clouds,0,73
1,01/05/2020,May,Fri,2,7244.2,7215,7170.4,26,Passing clouds,0,73
2,01/05/2020,May,Fri,3,6976.1,6924.8,6881.8,26,Passing clouds,0,73
3,01/05/2020,May,Fri,4,6718.5,6698.1,6623.2,26,Passing clouds,0,73
4,01/05/2020,May,Fri,5,6457.6,6460,6429.6,24,Passing clouds,2,83
5,01/05/2020,May,Fri,6,6208.4,6269.3,6174.4,24,Passing clouds,2,83
6,01/05/2020,May,Fri,7,5856.1,5844.6,5885.2,24,Passing clouds,2,83
7,01/05/2020,May,Fri,8,5879.1,6118.7,6080.3,29,Passing clouds,0,67
8,01/05/2020,May,Fri,9,6432,6463.9,6284.4,29,Passing clouds,0,67
9,01/05/2020,May,Fri,10,3439.5,6810.4,6667.5,29,Passing clouds,0,67
10,01/05/2020,May,Fri,11,7030.9,6979.6,6923.2,33,Scattered clouds,2,53
11,01/05/2020,May,Fri,12,7017.2,6923.1,6948.9,33,Scattered clouds,2,53
12,01/05/2020,May,Fri,13,6984.2,7054,7171.7,33,Scattered clouds,2,53
13,01/05/2020,May,Fri,14,7150,7376.1,7390.5,34,Scattered clouds,4,48
14,01/05/2020,May,Fri,15,7102.6,7364,7447.6,34,Scattered clouds,4,48
15,01/05/2020,May,Fri,16,6928.4,7243,7204.6,34,Scattered clouds,4,48
16,01/05/2020,May,Fri,17,6952.9,6982.6,6826.9,34,Scattered clouds,0,52
17,01/05/2020,May,Fri,18,6835.9,6838.7,6750.2,34,Scattered clouds,0,52
18,01/05/2020,May,Fri,19,7440.6,7451,7399.4,34,Scattered clouds,0,52
19,01/05/2020,May,Fri,20,7547.5,7508.1,7573.5,31,Passing clouds,2,62
20,01/05/2020,May,Fri,21,7833.7,7844.7,7837.6,31,Passing clouds,2,62
21,01/05/2020,May,Fri,22,7804.2,7828.3,7852.1,31,Passing clouds,2,62
22,01/05/2020,May,Fri,23,7761.2,7803.9,7772.8,28,Passing clouds,0,77
23,01/05/2020,May,Fri,24,7581.1,7619.5,7580.9,28,Passing clouds,0,77
24,02/05/2020,May,Sat,1,7450.2,7466,7466.3,28,Passing clouds,0,77
25,02/05/2020,May,Sat,2,7142.9,7238.1,7167.3,26,Passing clouds,0,74
26,02/05/2020,May,Sat,3,6849.5,6934.5,6899,26,Passing clouds,0,74
27,02/05/2020,May,Sat,4,6623.1,6706.9,6661.5,26,Passing clouds,0,74
28,02/05/2020,May,Sat,5,6533.3,6555.9,6491.1,25,Passing clouds,0,79
29,02/05/2020,May,Sat,6,6287.1,6315.5,6212.3,25,Passing clouds,0,79
30,02/05/2020,May,Sat,7,6037.5,6004,5974.6,25,Passing clouds,0,79
31,02/05/2020,May,Sat,8,6228,6188.9,6184.2,29,Passing clouds,4,62
32,02/05/2020,May,Sat,9,6542.9,6540.6,6565.7,29,Passing clouds,4,62
33,02/05/2020,May,Sat,10,6810.2,6905.9,6821.4,29,Passing clouds,4,62
34,02/05/2020,May,Sat,11,7075.5,7133.6,7103.2,33,Partly sunny,4,47
35,02/05/2020,May,Sat,12,7065.8,7108.4,7132.2,33,Partly sunny,4,47
36,02/05/2020,May,Sat,13,7297.6,7303.1,7283,33,Partly sunny,4,47
37,02/05/2020,May,Sat,14,7510,7552.4,7581.5,35,Partly sunny,4,44
38,02/05/2020,May,Sat,15,7478.8,7584.8,7597.6,35,Partly sunny,4,44
39,02/05/2020,May,Sat,16,7222.1,7369.7,7359.8,35,Partly sunny,4,44
40,02/05/2020,May,Sat,17,6916.7,6946.6,6968.2,34,Partly sunny,6,46
41,02/05/2020,May,Sat,18,6853.8,6912.1,6859.8,34,Partly sunny,6,46
42,02/05/2020,May,Sat,19,7508.2,7608.4,7471.2,34,Partly sunny,6,46
43,02/05/2020,May,Sat,20,7720.7,7682.5,7695.4,32,Passing clouds,2,54
44,02/05/2020,May,Sat,21,7946.8,7945.9,7968.3,32,Passing clouds,2,54
45,02/05/2020,May,Sat,22,7958.3,7983.4,8014.2,32,Passing clouds,2,54
46,02/05/2020,May,Sat,23,7844.2,7870.2,7931.7,30,Passing clouds,2,59
47,02/05/2020,May,Sat,24,7684.5,7753.2,7841.4,30,Passing clouds,2,59
48,03/05/2020,May,Sun,1,7515.7,7524.2,7496.6,30,Passing clouds,2,59
49,03/05/2020,May,Sun,2,7230.9,7242,7214,28,Passing clouds,0,70
50,03/05/2020,May,Sun,3,6953.3,6969.1,6922.8,28,Passing clouds,0,70
51,03/05/2020,May,Sun,4,6699.6,6735.9,6669.2,28,Passing clouds,0,70
52,03/05/2020,May,Sun,5,6503.7,6520.9,6485.8,28,Passing clouds,2,70
53,03/05/2020,May,Sun,6,6222.6,6263.6,6182.3,28,Passing clouds,2,70
54,03/05/2020,May,Sun,7,6207.7,6158.9,6117.7,28,Passing clouds,2,70
55,03/05/2020,May,Sun,8,6398.3,6360,6277.4,28,Overcast,4,75
56,03/05/2020,May,Sun,9,6602.8,6624.3,6564.2,28,Overcast,4,75
57,03/05/2020,May,Sun,10,3397.5,6866.2,6808.1,28,Overcast,4,75
58,03/05/2020,May,Sun,11,7042.7,7113.5,6996.3,30,Overcast,2,66
59,03/05/2020,May,Sun,12,7093.2,7123.9,6951.4,30,Overcast,2,66
60,03/05/2020,May,Sun,13,7089.3,7112,7036.5,30,Overcast,2,66
61,03/05/2020,May,Sun,14,7275,7227.2,7161.7,30,Sprinkles Overcast,2,56
62,03/05/2020,May,Sun,15,7258.5,7214.7,7113,30,Sprinkles Overcast,2,56
63,03/05/2020,May,Sun,16,7084.7,6981.4,6975.4,30,Sprinkles Overcast,2,56
64,03/05/2020,May,Sun,17,6706.9,6741.7,6811.4,32,Partly sunny,2,59
65,03/05/2020,May,Sun,18,6723.1,6908,6851.2,32,Partly sunny,2,59
66,03/05/2020,May,Sun,19,7356.1,7540.9,7545.5,32,Partly sunny,2,59
67,03/05/2020,May,Sun,20,7540,7682.2,7628.6,29,Passing clouds,2,73
68,03/05/2020,May,Sun,21,8010.4,8017.9,8026.4,29,Passing clouds,2,73
69,03/05/2020,May,Sun,22,7974.9,8043.3,8029.6,29,Passing clouds,2,73
70,03/05/2020,May,Sun,23,7728,7774.9,7784.6,27,Passing clouds,2,79
71,03/05/2020,May,Sun,24,7417.5,7587.1,7519.1,27,Passing clouds,2,79
72,04/05/2020,May,Mon,1,7171.9,7587.1,7137.8,27,Passing clouds,2,79
73,04/05/2020,May,Mon,2,6883,6897.4,6893.1,26,Passing clouds,0,85
74,04/05/2020,May,Mon,3,6597.6,6664.1,6662,26,Passing clouds,0,85
75,04/05/2020,May,Mon,4,6379.7,6470.3,6458.6,26,Passing clouds,0,85
76,04/05/2020,May,Mon,5,6334.9,6363.4,6345.8,26,Passing clouds,0,85
77,04/05/2020,May,Mon,6,6219.3,6265.8,6192.3,26,Passing clouds,0,85
78,04/05/2020,May,Mon,7,6040.4,6094.8,6149.8,26,Passing clouds,0,85
79,04/05/2020,May,Mon,8,6580.8,6674,6754.2,29,Scattered clouds,2,72
80,04/05/2020,May,Mon,9,7308.2,7328.2,7293.1,29,Scattered clouds,2,72
81,04/05/2020,May,Mon,10,7714,7728.3,7654,29,Scattered clouds,2,72
82,04/05/2020,May,Mon,11,8032.4,8007.7,8018.4,33,Partly sunny,2,63
83,04/05/2020,May,Mon,12,7947.2,7902.8,8028.2,33,Partly sunny,2,63
84,04/05/2020,May,Mon,13,8232.1,8262.6,8356.9,33,Partly sunny,2,63
85,04/05/2020,May,Mon,14,8452.7,8547.3,8687.9,34,Scattered clouds,2,57
86,04/05/2020,May,Mon,15,8378.6,8550.9,8674.4,34,Scattered clouds,2,57
87,04/05/2020,May,Mon,16,8016.3,8319.5,8350.3,34,Scattered clouds,2,57
88,04/05/2020,May,Mon,17,7922.2,7922.6,7763,36,Scattered clouds,6,46
89,04/05/2020,May,Mon,18,7774.6,7661.7,7448.7,36,Scattered clouds,6,46
90,04/05/2020,May,Mon,19,8501.4,8117.4,8098.7,36,Scattered clouds,6,46
